cohort,family,case,forbidden_transition_accepted,exception_type,detail
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,48,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,49,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,50,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,51,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,52,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,53,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,54,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,55,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,56,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,57,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,58,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,59,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,60,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,61,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,62,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,63,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,64,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,65,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,66,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,67,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,68,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,69,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,70,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,71,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,72,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,73,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,74,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,75,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,76,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,77,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,78,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,79,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,80,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,81,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,82,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,83,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,84,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,85,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,86,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,87,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,88,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,89,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,90,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,91,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,92,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,93,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,94,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
