family,method,budget,n_rows,mean_rmse_true_teacher,mean_rmse_model_teacher,mean_false_credit_mass_true,max_false_credit_mass_true,topset_recovery,mean_max_estimator_variance,max_estimator_variance,mean_actual_evaluations,mean_model_teacher_false_mass_true
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,32,2048,0.2175917128720055,0.2175917128720055,0.0,0.0,1.0,0.17106770833333337,0.21333333333333346,33.0,4.241999166469356e-17
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,64,2048,0.15098373288075861,0.15098373288075861,0.0,0.0,1.0,0.07635881696428573,0.09142857142857148,65.0,4.241999166469356e-17
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,128,2048,0.10876917058156294,0.10876917058156294,0.0,0.0,1.0,0.035686848958333336,0.04266666666666669,129.0,4.241999166469356e-17
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,256,2048,0.07609191072999981,0.07609191072999981,0.0,0.0,1.0,0.017005339591733875,0.02064516129032259,257.0,4.241999166469356e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,8,2048,0.6074790145018751,0.6074790145018751,0.0,0.0,1.0,1.51501953125,3.240000000000001,9.0,4.241999166469356e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,16,2048,0.4220610383751509,0.4220610383751509,0.0,0.0,1.0,0.6673661295572917,1.0800000000000003,17.0,4.241999166469356e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,32,2048,0.2915693323631026,0.2915693323631026,0.0,0.0,1.0,0.3126402500697545,0.462857142857143,33.0,4.241999166469356e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,64,2048,0.2081649694290495,0.2081649694290495,0.0,0.0,1.0,0.15128211466471356,0.21600000000000008,65.0,4.241999166469356e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,128,2048,0.14815336695396333,0.14815336695396333,0.0,0.0,1.0,0.07347276379985195,0.1045161290322581,129.0,4.241999166469356e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,256,2048,0.10287162774969583,0.10287162774969583,0.0,0.0,1.0,0.03671127553970095,0.05076326884920635,257.0,4.241999166469356e-17
E1_TWO_CAUSE_INTERACTION,DOUBLE_ANTITHETIC_CRN_MC,8,2048,0.28284271247461906,0.28284271247461906,0.0,0.0,1.0,0.0,0.0,17.0,4.241999166469356e-17
E1_TWO_CAUSE_INTERACTION,DOUBLE_ANTITHETIC_CRN_MC,16,2048,0.28284271247461906,0.28284271247461906,0.0,0.0,1.0,0.0,0.0,17.0,4.241999166469356e-17
E1_TWO_CAUSE_INTERACTION,DOUBLE_ANTITHETIC_CRN_MC,32,2048,0.1386592203732996,0.1386592203732996,0.0,0.0,1.0,0.08156250000000002,0.16000000000000011,33.0,4.241999166469356e-17
