seed,context,gamma,method,top1_A,false_credit_mass,score_A,score_C,score_D,score_B,max_efficiency_error,counterfactual_structural_evaluations
1008,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6684000181934016,0.46469508278527466,0.8759679994629773,0.0042718186038499,0.05643756079146465,1.1102230246251565e-16,20736
1008,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1008,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1009,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.4541932613746093e-16,0.5,4.0903221022910163e-17,4.0903221022910163e-17,4.0903221022910163e-17,1.1102230246251565e-16,20736
1009,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.7086011072950235,0.42221062967428574,0.8857668848443596,0.07236209646133733,0.06856990873376623,1.1102230246251565e-16,20736
1009,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1009,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1010,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.8400675908257784e-16,0.5,4.733445984709632e-17,4.733445984709632e-17,4.733445984709632e-17,1.1102230246251565e-16,20736
1010,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.7325236931420182,0.38540383024462666,0.8811297877140007,0.028223798511399573,0.1461321889381229,1.1102230246251565e-16,20736
1010,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1010,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1011,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.887107565551546e-16,0.5,4.811845942585911e-17,4.811845942585911e-17,4.811845942585911e-17,1.1102230246251565e-16,20736
1011,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6619047184011677,0.5208010609338526,0.8764720120344666,0.08545411493605481,0.057670118059245254,1.1102230246251565e-16,20736
1011,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1011,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1012,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.9412117950574144e-16,0.5,4.9020196584290244e-17,4.9020196584290244e-17,4.9020196584290244e-17,1.1102230246251565e-16,20736
1012,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6692364903609098,0.5218103811107752,0.897611299923605,0.0559430294241324,0.10222884476813304,1.1102230246251565e-16,20736
1012,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1012,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1013,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.7598281597323785e-16,0.5,4.599713599553965e-17,4.599713599553965e-17,4.599713599553965e-17,1.1102230246251565e-16,20736
1013,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.7169978514654981,0.3898672489722062,0.8750633083349555,0.03178158352302221,0.08090018823196064,1.1102230246251565e-16,20736
1013,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1013,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1014,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,3.2121352832367023e-16,0.5,5.3535588053945045e-17,5.3535588053945045e-17,5.3535588053945045e-17,1.1102230246251565e-16,20736
1014,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6694919591459455,0.5094197214494275,0.8778947324561723,0.016436633360583177,0.13757214388139696,1.1102230246251565e-16,20736
1014,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1014,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1015,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.795229901762872e-16,0.5,4.6587165029381206e-17,4.6587165029381206e-17,4.6587165029381206e-17,1.1102230246251565e-16,20736
1015,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6449381129096382,0.5161027881494709,0.8913942193168222,0.03594447948400313,0.01011578549816795,1.1102230246251565e-16,20736
1015,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1015,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1016,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.8837744909041003e-16,0.5,4.8062908181735017e-17,4.8062908181735017e-17,4.8062908181735017e-17,1.1102230246251565e-16,20736
1016,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6952477638949469,0.47913530754039846,0.8943633101835541,0.16158605344807114,0.03712793558054012,1.1102230246251565e-16,20736
1016,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1016,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1017,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,3.161059196517268e-16,0.5,5.2684319941954473e-17,5.2684319941954473e-17,5.2684319941954473e-17,1.1102230246251565e-16,20736
1017,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6880277418157711,0.4147221635137928,0.8671313459384732,0.030312967655048543,0.01718942757343741,1.1102230246251565e-16,20736
1017,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1017,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1018,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.955196309016583e-16,0.5,4.9253271816943056e-17,4.9253271816943056e-17,4.9253271816943056e-17,1.1102230246251565e-16,20736
1018,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6962243972362618,0.4865307260449922,0.8807690342219915,0.10139523529579021,0.13291725248662603,1.1102230246251565e-16,20736
1018,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1018,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1019,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.9584489155340394e-16,0.5,4.930748192556733e-17,4.930748192556733e-17,4.930748192556733e-17,1.1102230246251565e-16,20736
1019,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6693864526311424,0.4565890689443872,0.883503084634255,0.026606590055166506,0.014336826681105712,1.1102230246251565e-16,20736
1019,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1019,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1020,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.9472341993123925e-16,0.5,4.912056998853988e-17,4.912056998853988e-17,4.912056998853988e-17,1.1102230246251565e-16,20736
1020,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6766225553599264,0.46315657376978125,0.8828104832926885,0.01969785863050244,0.06658269911914,1.1102230246251565e-16,20736
1020,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1020,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1021,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,3.161093077835158e-16,0.5,5.2684884630585974e-17,5.2684884630585974e-17,5.2684884630585974e-17,1.1102230246251565e-16,20736
1021,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6996495234832941,0.3971926074296108,0.8756847316774558,0.016222514675755053,0.033330568289502045,1.1102230246251565e-16,20736
1021,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1021,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1022,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.995506606976415e-16,0.5,4.9925110116273596e-17,4.9925110116273596e-17,4.9925110116273596e-17,1.1102230246251565e-16,20736
1022,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6957236668630141,0.4644493958029532,0.8874219524908424,0.048938300178631634,0.12559692746674392,1.1102230246251565e-16,20736
1022,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1022,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1023,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.7881910579711887e-16,0.5,4.646985096618649e-17,4.646985096618649e-17,4.646985096618649e-17,1.1102230246251565e-16,20736
1023,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6937721682202789,0.4283748805657758,0.8781499434146582,0.054800699145616916,0.03755085618985235,1.1102230246251565e-16,20736
1023,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1023,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1024,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.9395261994923783e-16,0.5,4.899210332487298e-17,4.899210332487298e-17,4.899210332487298e-17,1.1102230246251565e-16,20736
1024,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6480343666785933,0.5492253512198544,0.8844084695315046,0.0901324281964758,0.036685395256628325,1.1102230246251565e-16,20736
1024,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1024,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1025,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,3.227195529038884e-16,0.5,5.378659215064807e-17,5.378659215064807e-17,5.378659215064807e-17,1.1102230246251565e-16,20736
1025,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6912212241857922,0.4495354842096445,0.8782142682036194,0.047774243020923236,0.08032569185173631,1.1102230246251565e-16,20736
1025,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1025,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1026,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.6655449223735023e-16,0.5,4.442574870622505e-17,4.442574870622505e-17,4.442574870622505e-17,1.1102230246251565e-16,20736
1026,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6807085109180211,0.44110413326549713,0.890521516792804,0.02816395770173389,0.021719603568308567,1.1102230246251565e-16,20736
