cohort,family,seed,upstream_state,reference_beta,unrestricted_state,unrestricted_beta_set_kind,unrestricted_exact_equivalent_count,unrestricted_finite_grid_beta_min,unrestricted_finite_grid_beta_max,unrestricted_finite_grid_beta_diameter,unrestricted_frontier_size,unrestricted_frontier_max_path_error,constrained_state,direct_interval_exists,direct_interval_lower,direct_interval_upper,direct_interval_width,material_countermodel_within_bound,causal_authority_granted_unrestricted,causal_authority_granted_constrained
PRIMARY,R0_VALID,91010,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7876816530072418,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6434254219047846,0.9317348272190126,0.288309405314228,False,False,False
PRIMARY,R0_VALID,91011,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8227383931609752,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,16,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6828320719506343,0.9628659834804035,0.2800339115297692,False,False,False
PRIMARY,R0_VALID,91012,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7950722036114659,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6512631094752145,0.9389976382402097,0.28773452876499517,False,False,False
PRIMARY,R0_VALID,91013,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8080025480579117,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6645124743119243,0.9515322852150498,0.28701981090312556,False,False,False
PRIMARY,R0_VALID,91014,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8217835403275215,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,16,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6779742743819535,0.9654585682352932,0.28748429385333973,False,False,False
PRIMARY,R0_VALID,91015,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8163190089982577,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,15,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6715059287675251,0.9611855741313856,0.2896796453638605,False,False,False
PRIMARY,R0_VALID,91016,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8322533285884913,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,2.6645352591003757e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6922694808094312,0.9722301120978194,0.2799606312883882,False,False,False
PRIMARY,R0_VALID,91017,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7975735648977378,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6499768772229293,0.944949592225075,0.2949727150021457,False,False,False
PRIMARY,R0_VALID,91018,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7490134618639444,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,20,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6037939156486666,0.8940177112084815,0.2902237955598149,False,False,False
PRIMARY,R0_VALID,91019,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7732663568463536,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6266660530037292,0.9192899038185078,0.2926238508147786,False,False,False
PRIMARY,R0_VALID,91020,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.807938992870996,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6621340798852748,0.9537772021918145,0.29164312230653966,False,False,False
PRIMARY,R0_VALID,91021,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.798996992300933,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,16,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6526811593601831,0.9452639463916015,0.2925827870314184,False,False,False
PRIMARY,R0_VALID,91022,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7805087666157869,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6359307666772398,0.9250438407391991,0.2891130740619593,False,False,False
PRIMARY,R0_VALID,91023,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8133715008313653,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6742382157406124,0.9495661773961881,0.2753279616555757,False,False,False
PRIMARY,R0_VALID,91024,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8189261237068687,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,16,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6753357375360255,0.9599838636275076,0.28464812609148216,False,False,False
PRIMARY,R0_VALID,91025,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8006139765666165,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6543378604457,0.9467542360580321,0.29241637561233214,False,False,False
PRIMARY,R0_VALID,91026,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7506635632642558,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6031857159243632,0.8979995403794048,0.29481382445504156,False,False,False
