seed,context,mode,method,top1_A,false_credit_mass,score_A,score_C,score_D,score_B,structural_evaluations,max_efficiency_error
12001,TRAIN_CONFOUNDED,NORMAL,TD_ELIGIBILITY_PROXY,False,0.7500661130724028,0.57821094935285,1.1165021641737884,0.04696168683978356,0.5717807956742641,0,
12001,TRAIN_CONFOUNDED,NORMAL,RANDOM,True,0.6279726299696888,0.9892153006284763,0.7584251453413561,0.7784279551157532,0.13291687880895353,0,
12001,OOD_WEAK_CONFOUNDER,NORMAL,EXACT_CF_SHAPLEY,True,6.440160904563896e-17,1.0,2.1467203015212988e-17,2.1467203015212988e-17,2.1467203015212988e-17,10368,2.220446049250313e-16
12001,OOD_WEAK_CONFOUNDER,NORMAL,OBS_ASSOC,True,0.4999967102221792,0.9536112201951279,0.2375392271188427,0.11596169923938081,0.6000977452433011,0,
12001,OOD_WEAK_CONFOUNDER,NORMAL,RECENCY,False,0.9,0.25,0.5,0.75,1.0,0,
12001,OOD_WEAK_CONFOUNDER,NORMAL,UNIFORM,False,0.75,1.0,1.0,1.0,1.0,0,
12001,OOD_WEAK_CONFOUNDER,NORMAL,MC_CF_SHAPLEY_4,True,0.4962686567164179,1.0546875,0.33203125,0.3515625,0.35546875,2560,
12001,OOD_WEAK_CONFOUNDER,NORMAL,MC_CF_SHAPLEY_16,True,0.3792888334373051,0.9716796875,0.2001953125,0.21875,0.1748046875,10240,
12001,OOD_WEAK_CONFOUNDER,NORMAL,MC_CF_SHAPLEY_64,True,0.2280503854107915,1.00244140625,0.10595703125,0.098388671875,0.091796875,40960,
12001,OOD_WEAK_CONFOUNDER,NORMAL,TD_ELIGIBILITY_PROXY,False,0.6335928492324564,0.5193435618036596,0.16075294281185812,0.09843531415953166,0.6388629037781194,0,
12001,OOD_WEAK_CONFOUNDER,NORMAL,RANDOM,True,0.6278927063451888,0.9392628115375496,0.04507705167639742,0.6893819020475118,0.8504502344652264,0,
12001,OOD_SIGN_INVERSION,NORMAL,EXACT_CF_SHAPLEY,True,2.821636153893525e-16,1.0,9.405453846311751e-17,9.405453846311751e-17,9.405453846311751e-17,10368,2.220446049250313e-16
12001,OOD_SIGN_INVERSION,NORMAL,OBS_ASSOC,False,0.6385197952594166,0.5957642063487963,0.7295958943047208,0.13796391225234478,0.18480000200761618,0,
12001,OOD_SIGN_INVERSION,NORMAL,RECENCY,False,0.9,0.25,0.5,0.75,1.0,0,
12001,OOD_SIGN_INVERSION,NORMAL,UNIFORM,False,0.75,1.0,1.0,1.0,1.0,0,
