cohort,family,seed,upstream_state,reference_beta,unrestricted_state,unrestricted_exact_equivalent_count,unrestricted_constrained_survivor_count,unrestricted_frontier_size,unrestricted_frontier_max_path_error,constrained_state,constrained_survivor_count,near_true_beta_countermodel,near_true_beta_path_error,causal_authority_granted_unrestricted,causal_authority_granted_constrained
PRIMARY,C0_VALID,71015,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7912057643197883,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71016,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8100958364126647,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,61,61,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71017,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8056214861178747,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71018,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7798798299858947,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71019,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.794668036727221,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71020,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7803203954979081,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71021,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7829856471504308,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71022,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7797530816267815,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71023,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.792131801628185,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71024,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8369639527249322,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,61,61,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71025,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.805467579805834,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71026,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8134074286061971,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,61,61,12,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71027,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.777462289138838,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71028,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8247641256448802,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71029,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8093516373220621,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71030,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8049026449632247,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71031,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8520457921731714,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,10,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71032,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.811499571697171,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,61,61,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71033,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8024512891215996,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
