family,method,budget,n_rows,mean_rmse_true_teacher,mean_rmse_model_teacher,mean_false_credit_mass_true,max_false_credit_mass_true,topset_recovery,mean_max_estimator_variance,max_estimator_variance,mean_actual_evaluations,mean_model_teacher_false_mass_true
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,64,512,0.15084387950032388,0.15084387950032388,0.0,0.0,1.0,0.07578125000000002,0.09142857142857148,65.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,128,512,0.10778316569052566,0.10778316569052566,0.0,0.0,1.0,0.03590234375000001,0.04266666666666669,129.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,ANTITHETIC_CRN_MC,256,512,0.07667753449089953,0.07667753449089953,0.0,0.0,1.0,0.017054403981854843,0.020645161290322584,257.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,8,512,0.6066357698319075,0.6066357698319075,0.0,0.0,1.0,1.4203906250000002,3.240000000000001,9.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,16,512,0.42133216019703884,0.42133216019703884,0.0,0.0,1.0,0.6643701171875,1.0800000000000003,17.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,32,512,0.2960075847058199,0.2960075847058199,0.0,0.0,1.0,0.3084366280691965,0.462857142857143,33.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,64,512,0.19881433864608944,0.19881433864608944,0.0,0.0,1.0,0.149696533203125,0.21600000000000003,65.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,128,512,0.14513248010575433,0.14513248010575433,0.0,0.0,1.0,0.07339492551742062,0.10451612903225807,129.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,CRN_CHAIN_MC,256,512,0.10259455746018725,0.10259455746018725,0.0,0.0,1.0,0.036439941951206756,0.050119047619047626,257.0,4.124879053520292e-17
E1_TWO_CAUSE_INTERACTION,DOUBLE_ANTITHETIC_CRN_MC,8,512,0.28284271247461906,0.28284271247461906,0.0,0.0,1.0,0.0,0.0,17.0,4.124879053520292e-17
