cohort,family,case,pass,state,selected_action,certificate_valid_before,digest_deterministic,mutated_world_certificate_accepted,stale_certificate_accepted,dropped_world_certificate_accepted,no_causal_truth_field,information_state,necessary_information_cost
PRIMARY,P0,79,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,80,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,81,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,82,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,83,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,84,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,85,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,86,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,87,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,88,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,89,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,90,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,91,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,92,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,93,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,94,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,95,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,96,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,97,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,98,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,99,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,100,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,101,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,102,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,103,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,104,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,105,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,106,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,107,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,108,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,109,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,110,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,111,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,112,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,113,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,114,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,115,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,116,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,117,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,118,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,119,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,120,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,121,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,122,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,123,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,124,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,125,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,126,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P0,127,1,ROBUST_ACTION,A,1,1,0,,,1,,
PRIMARY,P1,0,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,1,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,2,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,3,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,4,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,5,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,6,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,7,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,8,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,9,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,10,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,11,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,12,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,13,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,14,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,15,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,16,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,17,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,18,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,19,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,20,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,21,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,22,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,23,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,24,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,25,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,26,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,27,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,28,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,29,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,30,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,31,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,32,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,33,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,34,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,35,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,36,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,37,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,38,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,39,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,40,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,41,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,42,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,43,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,44,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,45,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,46,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,47,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,48,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,49,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,50,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,51,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,52,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,53,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,54,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,55,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,56,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,57,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,58,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,59,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,60,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,61,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,62,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,63,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,64,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,65,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,66,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,67,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,68,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,69,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,70,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,71,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,72,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,73,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,74,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,75,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,76,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,77,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,78,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,79,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,80,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,81,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,82,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,83,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,84,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,85,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,86,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,87,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,88,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,89,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,90,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,91,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,92,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,93,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,94,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,95,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,96,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,97,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,98,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,99,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,100,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,101,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,102,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,103,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,104,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,105,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
