seed,split,model,horizon,mse
2005,OOD,STATELESS,4,65.97186360705558
2005,OOD,STATELESS,8,164.76478732183074
2005,OOD,DYNAMIC_HISTORY,1,0.3202922099043591
2005,OOD,DYNAMIC_HISTORY,2,2.351959016313475
2005,OOD,DYNAMIC_HISTORY,4,17.476478115716155
2005,OOD,DYNAMIC_HISTORY,8,118.99610416514437
2005,OOD,LEAKAGE_ORACLE,1,5.1255509266178795e-12
2006,ID,STATELESS,1,13.543711449315902
2006,ID,STATELESS,2,48.80064035745237
2006,ID,STATELESS,4,174.67003966051334
2006,ID,STATELESS,8,585.8813163844412
2006,ID,DYNAMIC_HISTORY,1,0.016585256793400262
2006,ID,DYNAMIC_HISTORY,2,0.045583495917273904
2006,ID,DYNAMIC_HISTORY,4,0.15901099804441565
2006,ID,DYNAMIC_HISTORY,8,0.571511528263427
2006,ID,LEAKAGE_ORACLE,1,2.2945321502341906e-12
2006,OOD,STATELESS,1,7.314647997814549
2006,OOD,STATELESS,2,21.570310979955064
2006,OOD,STATELESS,4,57.711161148023926
2006,OOD,STATELESS,8,116.46255371580867
2006,OOD,DYNAMIC_HISTORY,1,0.3174247806114006
2006,OOD,DYNAMIC_HISTORY,2,2.3477582096228815
2006,OOD,DYNAMIC_HISTORY,4,18.112503525916228
2006,OOD,DYNAMIC_HISTORY,8,118.41328706620853
2006,OOD,LEAKAGE_ORACLE,1,5.343784955467223e-12
2007,ID,STATELESS,1,11.927135215235147
2007,ID,STATELESS,2,43.62424096072869
2007,ID,STATELESS,4,155.47184744466492
2007,ID,STATELESS,8,519.4390687492017
2007,ID,DYNAMIC_HISTORY,1,0.019680272732380676
2007,ID,DYNAMIC_HISTORY,2,0.050597021642639815
2007,ID,DYNAMIC_HISTORY,4,0.16156653402099713
2007,ID,DYNAMIC_HISTORY,8,0.5487611777522459
2007,ID,LEAKAGE_ORACLE,1,2.7608489414152604e-12
2007,OOD,STATELESS,1,7.2073786362550205
2007,OOD,STATELESS,2,23.26261820284295
2007,OOD,STATELESS,4,67.47173769572682
2007,OOD,STATELESS,8,207.0226373598135
2007,OOD,DYNAMIC_HISTORY,1,0.35562404458316105
2007,OOD,DYNAMIC_HISTORY,2,2.6628832459456473
2007,OOD,DYNAMIC_HISTORY,4,21.383883664510023
2007,OOD,DYNAMIC_HISTORY,8,169.7170489748728
2007,OOD,LEAKAGE_ORACLE,1,6.086791264504963e-12
2008,ID,STATELESS,1,11.03246040705844
2008,ID,STATELESS,2,41.30156371181995
2008,ID,STATELESS,4,147.41337573995816
2008,ID,STATELESS,8,478.37416577667614
2008,ID,DYNAMIC_HISTORY,1,0.01887803961193822
2008,ID,DYNAMIC_HISTORY,2,0.05399463418154716
2008,ID,DYNAMIC_HISTORY,4,0.18671931139275322
2008,ID,DYNAMIC_HISTORY,8,0.8376616906473768
2008,ID,LEAKAGE_ORACLE,1,2.1524766149914415e-12
2008,OOD,STATELESS,1,9.583768720384736
2008,OOD,STATELESS,2,34.6036696297627
2008,OOD,STATELESS,4,115.85395769426248
2008,OOD,STATELESS,8,276.2425466143249
2008,OOD,DYNAMIC_HISTORY,1,0.45862106917735873
2008,OOD,DYNAMIC_HISTORY,2,3.4419566973873117
2008,OOD,DYNAMIC_HISTORY,4,27.8841986754755
2008,OOD,DYNAMIC_HISTORY,8,167.30331649483858
2008,OOD,LEAKAGE_ORACLE,1,5.503411828746661e-12
2009,ID,STATELESS,1,13.786587338957453
2009,ID,STATELESS,2,52.59843247745102
2009,ID,STATELESS,4,189.88605130995268
2009,ID,STATELESS,8,633.1615275053155
2009,ID,DYNAMIC_HISTORY,1,0.01865447089085534
2009,ID,DYNAMIC_HISTORY,2,0.0550876170296751
2009,ID,DYNAMIC_HISTORY,4,0.2057960056898588
2009,ID,DYNAMIC_HISTORY,8,0.7739647998239816
2009,ID,LEAKAGE_ORACLE,1,2.4553683357021844e-12
2009,OOD,STATELESS,1,7.923430292303714
2009,OOD,STATELESS,2,27.343748765038598
2009,OOD,STATELESS,4,84.6214872479946
2009,OOD,STATELESS,8,266.52663991131084
2009,OOD,DYNAMIC_HISTORY,1,0.4221078936556498
2009,OOD,DYNAMIC_HISTORY,2,3.1849730242685053
2009,OOD,DYNAMIC_HISTORY,4,26.849189508369783
2009,OOD,DYNAMIC_HISTORY,8,202.42674492634768
2009,OOD,LEAKAGE_ORACLE,1,5.518367475533463e-12
2010,ID,STATELESS,1,11.556328878629987
2010,ID,STATELESS,2,43.161218266700295
2010,ID,STATELESS,4,156.61537260002086
2010,ID,STATELESS,8,526.4600935754619
2010,ID,DYNAMIC_HISTORY,1,0.01849457140081378
2010,ID,DYNAMIC_HISTORY,2,0.04904196511421815
2010,ID,DYNAMIC_HISTORY,4,0.16305419586788886
2010,ID,DYNAMIC_HISTORY,8,0.6471663790602866
2010,ID,LEAKAGE_ORACLE,1,2.4459071533902615e-12
2010,OOD,STATELESS,1,7.076995417326674
2010,OOD,STATELESS,2,24.101710773634892
2010,OOD,STATELESS,4,73.6797411838034
2010,OOD,STATELESS,8,187.73505532563266
2010,OOD,DYNAMIC_HISTORY,1,0.36274712172457707
2010,OOD,DYNAMIC_HISTORY,2,2.6523357860953563
2010,OOD,DYNAMIC_HISTORY,4,21.451341708660067
2010,OOD,DYNAMIC_HISTORY,8,145.53674117572257
2010,OOD,LEAKAGE_ORACLE,1,5.558378769070268e-12
2011,ID,STATELESS,1,12.674503489043392
2011,ID,STATELESS,2,44.29288921944787
2011,ID,STATELESS,4,145.35161480233683
2011,ID,STATELESS,8,438.10522487025094
2011,ID,DYNAMIC_HISTORY,1,0.0208362886189967
2011,ID,DYNAMIC_HISTORY,2,0.055576871746205236
2011,ID,DYNAMIC_HISTORY,4,0.182203824405536
2011,ID,DYNAMIC_HISTORY,8,0.6907237205262988
2011,ID,LEAKAGE_ORACLE,1,2.4542564500315803e-12
2011,OOD,STATELESS,1,9.429634179480415
2011,OOD,STATELESS,2,28.705436152085102
2011,OOD,STATELESS,4,84.97145673063919
2011,OOD,STATELESS,8,219.27172834832885
2011,OOD,DYNAMIC_HISTORY,1,0.4777709026030963
2011,OOD,DYNAMIC_HISTORY,2,3.5869235803376895
2011,OOD,DYNAMIC_HISTORY,4,29.855014318577066
2011,OOD,DYNAMIC_HISTORY,8,221.99999105903512
2011,OOD,LEAKAGE_ORACLE,1,5.717036316877856e-12
2012,ID,STATELESS,1,13.078541313056762
2012,ID,STATELESS,2,50.82824220233295
2012,ID,STATELESS,4,190.12379442314915
2012,ID,STATELESS,8,655.9728924405841
2012,ID,DYNAMIC_HISTORY,1,0.021242563680298643
2012,ID,DYNAMIC_HISTORY,2,0.057793928169673624
2012,ID,DYNAMIC_HISTORY,4,0.233152015068392
2012,ID,DYNAMIC_HISTORY,8,0.8919763979249944
2012,ID,LEAKAGE_ORACLE,1,2.1467131169466936e-12
2012,OOD,STATELESS,1,7.320201336334905
2012,OOD,STATELESS,2,24.514553972770337
2012,OOD,STATELESS,4,78.56775990066978
2012,OOD,STATELESS,8,212.87926337509504
2012,OOD,DYNAMIC_HISTORY,1,0.34751558877013566
2012,OOD,DYNAMIC_HISTORY,2,2.5741211008611646
2012,OOD,DYNAMIC_HISTORY,4,20.611664431622366
2012,OOD,DYNAMIC_HISTORY,8,143.57188047722173
2012,OOD,LEAKAGE_ORACLE,1,5.905369409627743e-12
2013,ID,STATELESS,1,19.37315789573837
2013,ID,STATELESS,2,73.66555555228219
2013,ID,STATELESS,4,276.4203705189111
2013,ID,STATELESS,8,959.2135448234876
2013,ID,DYNAMIC_HISTORY,1,0.01826658955528622
2013,ID,DYNAMIC_HISTORY,2,0.046806396854482214
2013,ID,DYNAMIC_HISTORY,4,0.14837462103346807
2013,ID,DYNAMIC_HISTORY,8,0.6025588520311188
2013,ID,LEAKAGE_ORACLE,1,2.4602760779166678e-12
2013,OOD,STATELESS,1,8.08058532607717
